Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
buffAppleJuiceFMName,buffs,Buff,New,"Apple Juice Warming",,,,,
buffAppleJuiceFMDesc,buffs,Buff,New,"Apple juice will give you a slight resistance to colder environments.",,,,,
buffBloodyMaryFMName,buffs,Buff,New,"Slow Bloodflow",,,,,
buffBloodyMaryFMDesc,buffs,Buff,New,"Bloody Mary slows your blood flow, preventing bleed damage and heightening your pain tolerance.",,,,,
buffBlueberryJuiceFMName,buffs,Buff,New,"Blueberry Juice Cooling",,,,,
buffBlueberryJuiceFMDesc,buffs,Buff,New,"Blueberry juice will give you a slight resistance to hotter environments.",,,,,
buffCatlikeReflexesFMName,buffs,Buff,New,"Catlike Reflexes",,,,,
buffCatlikeReflexesFMDesc,buffs,Buff,New,"Your sneaking and jumping skills are much improved for a while. You deal extra damage whilst concealed, too.",,,,,
buffDetoxFMName,buffs,Buff,New,"Detoxification",,,,,
buffDetoxFMDesc,buffs,Buff,New,"Your suffering from dysentery, stomach cramps or food poisoning will be coming to an end very soon.",,,,,
buffDoglikeAggressionFMName,buffs,Buff,New,"Doglike Aggression",,,,,
buffDoglikeAggressionFMDesc,buffs,Buff,New,"Whilst not holding any items, you move much faster and can rip enemies apart with your bare hands.",,,,,
buffGummyPowerBlueFMName,buffs,Buff,New,"Gummy Power: Blue",,,,,
buffGummyPowerBlueFMDesc,buffs,Buff,New,"Your gummy hands allow you to maintain a better hold on your items, allowing you to craft faster.",,,,,
buffGummyPowerBlackFMName,buffs,Buff,New,"Gummy Power: Black",,,,,
buffGummyPowerBlackFMDesc,buffs,Buff,New,"Your gummy brain kicks into action when trading, allowing you to barter with the best of them."
buffGummyPowerRedFMName,buffs,Buff,New,"Gummy Power: Red",,,,,
buffGummyPowerRedFMDesc,buffs,Buff,New,"Your gummy eyes see red, allowing you to decapitate your foes much more easily.",,,,,
buffHealthRegenFMName,buffs,Buff,New,"Health Regen",,,,,
buffHealthRegenFMDesc,buffs,Buff,New,"Your health recovery is greatly increased from the power of the spicy hash.",,,,,
buffHeartyMealFMName,buffs,Buff,New,"A Hearty Meal",,,,,
buffHeartyMealFMDesc,buffs,Buff,New,"A filling meal like that will keep you healthy as a horse for a while.",,,,,
buffHotMealFMName,buffs,Buff,New,"A Nice Hot Meal",,,,,
buffHotMealFMDesc,buffs,Buff,New,"Warm food helps shake off the cold weather just a little.",,,,,
buffHuntersEyeFMName,buffs,Buff,New,"Hunter's Eye",,,,,
buffHuntersEyeFMDesc,buffs,Buff,New,"You will get more produce from animal harvesting for a while.",,,,,
buffIceVeinsFMName,buffs,Buff,New,"Veins of Ice",,,,,
buffIceVeinsFMDesc,buffs,Buff,New,"Your resistance to both cold weather and physical damage has increased for a short time.",,,,,
buffIllStomachCrampsFMName,buffs,Buff,New,"Stomach Cramps",,,,,
buffIllStomachCrampsFMDesc,buffs,Buff,New,"Eating bad food has given you stomach cramps. You will recover less stamina and move more slowly than usual.",,,,,
buffKeenEyesFMName,buffs,Buff,New,"Keen Eyes",,,,,
buffKeenEyesFMDesc,buffs,Buff,New,"Your aiming and general gun handling is improved for a while.",,,,,
buffKnockdownFMName,buffs,Buff,New,"Brutal Battering",,,,,
buffKnockdownFMDesc,buffs,Buff,New,"Attacks with melee weapons have a high chance to knock enemies down.",,,,,
buffMeleeSpeedFMName,buffs,Buff,New,"Melee Speed",,,,,
buffMeleeSpeedFMDesc,buffs,Buff,New,"Your speed with all melee weapons is increased for a short time. HULK SMASH!",,,,,
buffMilkFMName,buffs,Buff,New,"The White Stuff",,,,,
buffMilkFMDesc,buffs,Buff,New,"A nice carton of milk is perfect for those who need a little more stamina.",,,,,
buffQuickHandsFMName,buffs,Buff,New,"Quick Hands",,,,,
buffQuickHandsFMDesc,buffs,Buff,New,"Increased concentration allows you to reload your weapons faster for a while.",,,,,
buffQuickLearnerFMName,buffs,Buff,New,"Brain Power",,,,,
buffQuickLearnerFMDesc,buffs,Buff,New,"That brain food you just ate grants you a 20% XP bonus for a short time.",,,,,
buffRefreshingMealFMName,buffs,Buff,New,"A Nice Refreshing Meal",,,,,
buffRefreshingMealFMDesc,buffs,Buff,New,"Cool food helps shake off the cold weather just a little.",,,,,
buffSoyaMilkFMName,buffs,Buff,New,"The White-ish Stuff",,,,,
buffSoyaMilkFMDesc,buffs,Buff,New,"Soya milk is great for your insides and you will regenerate stamina and health a little faster.",,,,,
buffStrongArmsFMName,buffs,Buff,New,"Strong Arms",,,,,
buffStrongArmsFMDesc,buffs,Buff,New,"Energy rushing to your muscles helps you deal extra entity and block damage with melee weapons.",,,,,
buffStrongJointsFMName,buffs,Buff,New,"Strong Joints",,,,,
buffStrongJointsFMDesc,buffs,Buff,New,"You can jump a little higher and won't use so much stamina doing so.",,,,,
buffTomatoJuiceFMName,buffs,Buff,New,"Red Resistance",,,,,
buffTomatoJuiceFMDesc,buffs,Buff,New,"Your physical damage resistance is increased. You feel less pain from all attacks.",,,,,
buffVigorousPowerFMName,buffs,Buff,New,"Vigorous Power",,,,,
buffVigorousPowerFMDesc,buffs,Buff,New,"Your power attacks no longer halt your stamina regeneration - smash away!",,,,,
